M=5,N=10
2382.000000,162
2380.000000,195
2382.000000,181
2372.000000,180
2382.000000,217
2350.000000,156
6049461.000000,116
5757868.000000,144
6509837.000000,92
14938426.000000,112
15735397.000000,145
15213844.000000,146
24553620.000000,143
29238452.000000,159
28125296.000000,163
10927380.000000,100
11582216.000000,121
11552046.000000,104
17434469.000000,131
20160672.000000,180
19368078.000000,179
28142854.000000,133
33523429.000000,138
28848049.000000,149
651.000000,72
719.000000,98
668.000000,103
812.000000,98
668.000000,105
643.000000,87
654.000000,88
725.000000,106
721.000000,105
727.000000,85
1635.000000,98
1604.000000,73
1902.000000,90
1627.000000,90
1543.000000,107
1581.000000,96
1479.000000,92
1984.000000,121
1305.000000,86
1752.000000,106
2115.000000,109
2096.000000,82
2715.000000,103
1990.000000,159
2032.000000,120
2433.000000,93
2220.000000,77
2249.000000,113
1843.000000,108
2043.000000,81
